year,month,site,block,plot,cum_mammal,shan_mammal,rich_mammal
2016,August,Intermediate,1,Partial,12,0.748017,2
2016,August,Arid,1,Open,13,0.5895476,2
2016,August,Arid,1,Partial,42,1.0016857,4
2016,August,Arid,1,Total,34,1.2446206,4
2016,August,Arid,2,Open,13,0.5895476,2
2016,August,Arid,2,Partial,42,1.0016857,4
2016,August,Arid,2,Total,34,1.2446206,4
2016,August,Arid,3,Open,13,0.5895476,2
2016,August,Arid,3,Partial,42,1.0016857,4
2016,August,Arid,3,Total,34,1.2446206,4
2016,September,Mesic,1,Open,48,1.1649914,3
2016,September,Mesic,1,Partial,62,1.3021472,4
2016,September,Mesic,1,Total,72,1.1596465,4
2016,September,Mesic,2,Open,48,1.1649914,3
2016,September,Mesic,2,Partial,62,1.3021472,4
2016,September,Mesic,2,Total,72,1.1596465,4
2016,September,Mesic,3,Open,48,1.1649914,3
2016,September,Mesic,3,Partial,62,1.3021472,4
2016,September,Mesic,3,Total,72,1.1596465,4
2016,September,Intermediate,1,Total,23,0.687067,2
2016,September,Intermediate,2,Open,8,0.5895476,2
2016,September,Intermediate,2,Partial,12,0.748017,2
2016,September,Intermediate,2,Total,23,0.687067,2
2016,September,Intermediate,3,Open,8,0.5895476,2
2016,September,Intermediate,3,Partial,12,0.748017,2
2016,September,Intermediate,3,Total,23,0.687067,2
2016,September,Intermediate,1,Open,8,0.5895476,2
2016,September,Intermediate,1,Partial,12,0.748017,2
2016,September,Arid,1,Open,13,0.5895476,2
2016,September,Arid,1,Partial,42,1.0016857,4
2016,September,Arid,1,Total,34,1.2446206,4
2016,September,Arid,2,Open,13,0.5895476,2
2016,September,Arid,2,Partial,42,1.0016857,4
2016,September,Arid,2,Total,34,1.2446206,4
2016,September,Arid,3,Open,13,0.5895476,2
2016,September,Arid,3,Partial,42,1.0016857,4
2016,September,Arid,3,Total,34,1.2446206,4
2016,October,Mesic,1,Open,48,1.1649914,3
2016,October,Mesic,1,Partial,62,1.3021472,4
2016,October,Mesic,1,Total,72,1.1596465,4
2016,October,Mesic,2,Open,48,1.1649914,3
2016,October,Mesic,2,Partial,62,1.3021472,4
2016,October,Mesic,2,Total,72,1.1596465,4
2016,October,Mesic,3,Open,48,1.1649914,3
2016,October,Mesic,3,Partial,62,1.3021472,4
2016,October,Mesic,3,Total,72,1.1596465,4
2016,October,Intermediate,1,Total,23,0.687067,2
2016,October,Intermediate,2,Open,8,0.5895476,2
2016,October,Intermediate,2,Partial,12,0.748017,2
2016,October,Intermediate,2,Total,23,0.687067,2
2016,October,Intermediate,3,Open,8,0.5895476,2
2016,October,Intermediate,3,Partial,12,0.748017,2
2016,October,Intermediate,3,Total,23,0.687067,2
2016,October,Intermediate,1,Open,8,0.5895476,2
