year,month,site,block,plot,cum_mammal,shan_mammal,rich_mammal
2017,September,Intermediate,2,Total,23,0.687067,2
2017,September,Intermediate,3,Open,8,0.5895476,2
2017,September,Intermediate,3,Partial,12,0.748017,2
2017,September,Intermediate,3,Total,23,0.687067,2
2017,September,Intermediate,1,Open,8,0.5895476,2
2017,September,Intermediate,1,Partial,12,0.748017,2
2017,September,Arid,1,Open,13,0.5895476,2
2017,September,Arid,1,Partial,42,1.0016857,4
2017,September,Arid,1,Total,34,1.2446206,4
2017,September,Arid,2,Open,13,0.5895476,2
2017,September,Arid,2,Partial,42,1.0016857,4
2017,September,Arid,2,Total,34,1.2446206,4
2017,September,Arid,3,Open,13,0.5895476,2
2017,September,Arid,3,Partial,42,1.0016857,4
2017,September,Arid,3,Total,34,1.2446206,4
2017,October,Mesic,1,Open,48,1.1649914,3
2017,October,Mesic,1,Partial,62,1.3021472,4
2017,October,Mesic,1,Total,72,1.1596465,4
2017,October,Mesic,2,Open,48,1.1649914,3
2017,October,Mesic,2,Partial,62,1.3021472,4
2017,October,Mesic,2,Total,72,1.1596465,4
2017,October,Mesic,3,Open,48,1.1649914,3
2017,October,Mesic,3,Partial,62,1.3021472,4
2017,October,Mesic,3,Total,72,1.1596465,4
2017,October,Intermediate,1,Total,23,0.687067,2
2017,October,Intermediate,2,Open,8,0.5895476,2
2017,October,Intermediate,2,Partial,12,0.748017,2
2017,October,Intermediate,2,Total,23,0.687067,2
2017,October,Intermediate,3,Open,8,0.5895476,2
2017,October,Intermediate,3,Partial,12,0.748017,2
2017,October,Intermediate,3,Total,23,0.687067,2
2017,October,Intermediate,1,Open,8,0.5895476,2
2017,October,Intermediate,1,Partial,12,0.748017,2
2017,October,Arid,1,Open,13,0.5895476,2
2017,October,Arid,1,Partial,42,1.0016857,4
2017,October,Arid,1,Total,34,1.2446206,4
2017,October,Arid,2,Open,13,0.5895476,2
2017,October,Arid,2,Partial,42,1.0016857,4
2017,October,Arid,2,Total,34,1.2446206,4
2017,October,Arid,3,Open,13,0.5895476,2
2017,October,Arid,3,Partial,42,1.0016857,4
2017,October,Arid,3,Total,34,1.2446206,4
2017,November,Mesic,1,Open,48,1.1649914,3
2017,November,Mesic,1,Partial,62,1.3021472,4
2017,November,Mesic,1,Total,72,1.1596465,4
2017,November,Mesic,2,Open,48,1.1649914,3
2017,November,Mesic,2,Partial,62,1.3021472,4
2017,November,Mesic,2,Total,72,1.1596465,4
2017,November,Mesic,3,Open,48,1.1649914,3
2017,November,Mesic,3,Partial,62,1.3021472,4
2017,November,Mesic,3,Total,72,1.1596465,4
2017,November,Intermediate,1,Total,23,0.687067,2
2017,November,Intermediate,2,Open,8,0.5895476,2
2017,November,Intermediate,2,Partial,12,0.748017,2
2017,November,Intermediate,2,Total,23,0.687067,2
2017,November,Intermediate,3,Open,8,0.5895476,2
2017,November,Intermediate,3,Partial,12,0.748017,2
2017,November,Intermediate,3,Total,23,0.687067,2
2017,November,Intermediate,1,Open,8,0.5895476,2
2017,November,Intermediate,1,Partial,12,0.748017,2
2017,November,Arid,1,Open,13,0.5895476,2
2017,November,Arid,1,Partial,42,1.0016857,4
2017,November,Arid,1,Total,34,1.2446206,4
2017,November,Arid,2,Open,13,0.5895476,2
2017,November,Arid,2,Partial,42,1.0016857,4
2017,November,Arid,2,Total,34,1.2446206,4
2017,November,Arid,3,Open,13,0.5895476,2
2017,November,Arid,3,Partial,42,1.0016857,4
2017,November,Arid,3,Total,34,1.2446206,4
2017,December,Arid,1,Open,13,0.5895476,2
2017,December,Arid,1,Partial,42,1.0016857,4
2017,December,Arid,1,Total,34,1.2446206,4
2017,December,Arid,2,Open,13,0.5895476,2
2017,December,Arid,2,Partial,42,1.0016857,4
2017,December,Arid,2,Total,34,1.2446206,4
2017,December,Arid,3,Open,13,0.5895476,2
2017,December,Arid,3,Partial,42,1.0016857,4
2017,December,Arid,3,Total,34,1.2446206,4
2017,December,Intermediate,2,Open,8,0.5895476,2
2017,December,Intermediate,2,Partial,12,0.748017,2
2017,December,Intermediate,2,Total,23,0.687067,2
2017,December,Intermediate,3,Open,8,0.5895476,2
2017,December,Intermediate,3,Partial,12,0.748017,2
2017,December,Intermediate,3,Total,23,0.687067,2
2017,December,Intermediate,1,Open,8,0.5895476,2
2017,December,Intermediate,1,Partial,12,0.748017,2
2017,December,Intermediate,1,Total,23,0.687067,2
2017,December,Mesic,1,Open,48,1.1649914,3
2017,December,Mesic,1,Partial,62,1.3021472,4
2017,December,Mesic,1,Total,72,1.1596465,4
2017,December,Mesic,2,Open,48,1.1649914,3
2017,December,Mesic,2,Partial,62,1.3021472,4
2017,December,Mesic,2,Total,72,1.1596465,4
2017,December,Mesic,3,Open,48,1.1649914,3
2017,December,Mesic,3,Partial,62,1.3021472,4
2017,December,Mesic,3,Total,72,1.1596465,4
2018,January,Arid,2,Open,13,0.5895476,2
2018,January,Arid,2,Partial,42,1.0016857,4
2018,January,Arid,2,Total,34,1.2446206,4
2018,January,Arid,1,Open,13,0.5895476,2
2018,January,Arid,1,Partial,42,1.0016857,4
2018,January,Arid,1,Total,34,1.2446206,4
2018,January,Arid,3,Open,13,0.5895476,2
2018,January,Arid,3,Partial,42,1.0016857,4
2018,January,Arid,3,Total,34,1.2446206,4
2018,January,Intermediate,3,Open,8,0.5895476,2
2018,January,Intermediate,3,Partial,12,0.748017,2
2018,January,Intermediate,3,Total,23,0.687067,2
2018,January,Intermediate,2,Open,8,0.5895476,2
2018,January,Intermediate,2,Total,23,0.687067,2
2018,January,Intermediate,2,Partial,12,0.748017,2
2018,January,Intermediate,1,Total,23,0.687067,2
2018,January,Intermediate,1,Open,8,0.5895476,2
2018,January,Intermediate,1,Partial,12,0.748017,2
2018,January,Mesic,1,Total,72,1.1596465,4
2018,January,Mesic,1,Partial,62,1.3021472,4
2018,January,Mesic,1,Open,48,1.1649914,3
2018,January,Mesic,2,Total,72,1.1596465,4
2018,January,Mesic,2,Partial,62,1.3021472,4
2018,January,Mesic,2,Open,48,1.1649914,3
2018,January,Mesic,3,Total,72,1.1596465,4
2018,January,Mesic,3,Partial,62,1.3021472,4
2018,January,Mesic,3,Open,48,1.1649914,3
2018,February,Intermediate,1,Open,8,0.5895476,2
2018,February,Intermediate,1,Partial,12,0.748017,2
2018,February,Intermediate,1,Total,23,0.687067,2
2018,February,Intermediate,2,Open,8,0.5895476,2
2018,February,Intermediate,2,Partial,12,0.748017,2
2018,February,Intermediate,2,Total,23,0.687067,2
2018,February,Intermediate,3,Open,8,0.5895476,2
2018,February,Intermediate,3,Partial,12,0.748017,2
2018,February,Intermediate,3,Total,23,0.687067,2
2018,February,Mesic,1,Open,48,1.1649914,3
2018,February,Mesic,1,Partial,62,1.3021472,4
2018,February,Mesic,1,Total,72,1.1596465,4
2018,February,Mesic,2,Open,48,1.1649914,3
2018,February,Mesic,2,Partial,62,1.3021472,4
2018,February,Mesic,2,Total,72,1.1596465,4
2018,February,Mesic,3,Open,48,1.1649914,3
2018,February,Mesic,3,Partial,62,1.3021472,4
2018,February,Mesic,3,Total,72,1.1596465,4
2018,February,Arid,1,Open,13,0.5895476,2
2018,February,Arid,1,Partial,42,1.0016857,4
2018,February,Arid,1,Total,34,1.2446206,4
2018,February,Arid,2,Open,13,0.5895476,2
2018,February,Arid,2,Partial,42,1.0016857,4
2018,February,Arid,2,Total,34,1.2446206,4
2018,February,Arid,3,Open,13,0.5895476,2
2018,February,Arid,3,Partial,42,1.0016857,4
2018,February,Arid,3,Total,34,1.2446206,4
2018,March,Intermediate,1,Open,8,0.5895476,2
2018,March,Intermediate,1,Partial,12,0.748017,2
2018,March,Intermediate,1,Total,23,0.687067,2
2018,March,Intermediate,2,Open,8,0.5895476,2
2018,March,Intermediate,2,Partial,12,0.748017,2
2018,March,Intermediate,2,Total,23,0.687067,2
2018,March,Intermediate,3,Open,8,0.5895476,2
2018,March,Intermediate,3,Partial,12,0.748017,2
2018,March,Intermediate,3,Total,23,0.687067,2
2018,March,Mesic,1,Open,48,1.1649914,3
2018,March,Mesic,1,Partial,62,1.3021472,4
2018,March,Mesic,1,Total,72,1.1596465,4
2018,March,Mesic,2,Open,48,1.1649914,3
2018,March,Mesic,2,Partial,62,1.3021472,4
2018,March,Mesic,2,Total,72,1.1596465,4
2018,March,Mesic,3,Open,48,1.1649914,3
2018,March,Mesic,3,Partial,62,1.3021472,4
2018,March,Mesic,3,Total,72,1.1596465,4
2018,March,Arid,1,Open,13,0.5895476,2
2018,March,Arid,1,Partial,42,1.0016857,4
2018,March,Arid,1,Total,34,1.2446206,4
2018,March,Arid,2,Open,13,0.5895476,2
2018,March,Arid,2,Partial,42,1.0016857,4
2018,March,Arid,2,Total,34,1.2446206,4
2018,March,Arid,3,Open,13,0.5895476,2
2018,March,Arid,3,Partial,42,1.0016857,4
2018,March,Arid,3,Total,34,1.2446206,4
2018,April,Intermediate,3,Open,8,0.5895476,2
2018,April,Intermediate,3,Partial,12,0.748017,2
2018,April,Intermediate,3,Total,23,0.687067,2
2018,April,Intermediate,2,Open,8,0.5895476,2
2018,April,Intermediate,2,Total,23,0.687067,2
2018,April,Intermediate,2,Partial,12,0.748017,2
2018,April,Intermediate,1,Total,23,0.687067,2
2018,April,Intermediate,1,Open,8,0.5895476,2
2018,April,Intermediate,1,Partial,12,0.748017,2
2018,April,Mesic,1,Total,72,1.1596465,4
2018,April,Mesic,1,Partial,62,1.3021472,4
2018,April,Mesic,1,Open,48,1.1649914,3
2018,April,Mesic,2,Total,72,1.1596465,4
2018,April,Mesic,2,Partial,62,1.3021472,4
2018,April,Mesic,2,Open,48,1.1649914,3
2018,April,Mesic,3,Total,72,1.1596465,4
2018,April,Mesic,3,Partial,62,1.3021472,4
2018,April,Mesic,3,Open,48,1.1649914,3
2018,April,Arid,2,Open,13,0.5895476,2
2018,April,Arid,2,Partial,42,1.0016857,4
2018,April,Arid,2,Total,34,1.2446206,4
2018,April,Arid,1,Open,13,0.5895476,2
2018,April,Arid,1,Partial,42,1.0016857,4
2018,April,Arid,1,Total,34,1.2446206,4
2018,April,Arid,3,Open,13,0.5895476,2
2018,April,Arid,3,Partial,42,1.0016857,4
2018,April,Arid,3,Total,34,1.2446206,4
2018,April,Intermediate,2,Open,8,0.5895476,2
2018,April,Intermediate,2,Partial,12,0.748017,2
2018,April,Intermediate,2,Total,23,0.687067,2
2018,April,Intermediate,3,Open,8,0.5895476,2
2018,April,Intermediate,3,Partial,12,0.748017,2
2018,April,Intermediate,3,Total,23,0.687067,2
2018,April,Intermediate,1,Open,8,0.5895476,2
2018,April,Intermediate,1,Partial,12,0.748017,2
2018,April,Intermediate,1,Total,23,0.687067,2
2018,April,Mesic,1,Open,48,1.1649914,3
2018,April,Mesic,1,Partial,62,1.3021472,4
2018,April,Mesic,1,Total,72,1.1596465,4
2018,April,Mesic,2,Open,48,1.1649914,3
2018,April,Mesic,2,Partial,62,1.3021472,4
2018,April,Mesic,2,Total,72,1.1596465,4
2018,April,Mesic,3,Open,48,1.1649914,3
2018,April,Mesic,3,Partial,62,1.3021472,4
2018,April,Mesic,3,Total,72,1.1596465,4
2018,April,Arid,1,Open,13,0.5895476,2
2018,April,Arid,1,Partial,42,1.0016857,4
2018,April,Arid,1,Total,34,1.2446206,4
2018,April,Arid,2,Open,13,0.5895476,2
2018,April,Arid,2,Partial,42,1.0016857,4
2018,April,Arid,2,Total,34,1.2446206,4
2018,April,Arid,3,Open,13,0.5895476,2
2018,April,Arid,3,Partial,42,1.0016857,4
2018,April,Arid,3,Total,34,1.2446206,4
2018,April,Mesic,2,Open,48,1.1649914,3
2018,April,Mesic,2,Partial,62,1.3021472,4
2018,April,Mesic,2,Total,72,1.1596465,4
2018,April,Mesic,3,Open,48,1.1649914,3
2018,April,Mesic,3,Partial,62,1.3021472,4
2018,April,Mesic,3,Total,72,1.1596465,4
2018,April,Mesic,1,Open,48,1.1649914,3
2018,April,Mesic,1,Partial,62,1.3021472,4
2018,April,Mesic,1,Total,72,1.1596465,4
2018,April,Intermediate,1,Total,23,0.687067,2
2018,April,Intermediate,2,Open,8,0.5895476,2
2018,April,Intermediate,2,Partial,12,0.748017,2
2018,April,Intermediate,2,Total,23,0.687067,2
2018,April,Intermediate,3,Open,8,0.5895476,2
2018,April,Intermediate,3,Partial,12,0.748017,2
2018,April,Intermediate,3,Total,23,0.687067,2
2018,April,Intermediate,1,Open,8,0.5895476,2
2018,April,Intermediate,1,Partial,12,0.748017,2
2018,April,Arid,1,Open,13,0.5895476,2
2018,April,Arid,1,Partial,42,1.0016857,4
2018,April,Arid,1,Total,34,1.2446206,4
2018,April,Arid,2,Open,13,0.5895476,2
2018,April,Arid,2,Partial,42,1.0016857,4
2018,April,Arid,2,Total,34,1.2446206,4
2018,April,Arid,3,Open,13,0.5895476,2
2018,April,Arid,3,Partial,42,1.0016857,4
2018,April,Arid,3,Total,34,1.2446206,4
2018,May,Mesic,1,Open,48,1.1649914,3
2018,May,Mesic,1,Partial,62,1.3021472,4
2018,May,Mesic,1,Total,72,1.1596465,4
2018,May,Mesic,2,Open,48,1.1649914,3
2018,May,Mesic,2,Partial,62,1.3021472,4
2018,May,Mesic,2,Total,72,1.1596465,4
2018,May,Mesic,3,Open,48,1.1649914,3
2018,May,Mesic,3,Partial,62,1.3021472,4
2018,May,Mesic,3,Total,72,1.1596465,4
2018,May,Intermediate,1,Total,23,0.687067,2
2018,May,Intermediate,2,Open,8,0.5895476,2
2018,May,Intermediate,2,Partial,12,0.748017,2
2018,May,Intermediate,2,Total,23,0.687067,2
2018,May,Intermediate,3,Open,8,0.5895476,2
2018,May,Intermediate,3,Partial,12,0.748017,2
2018,May,Intermediate,3,Total,23,0.687067,2
2018,May,Intermediate,1,Open,8,0.5895476,2
2018,May,Intermediate,1,Partial,12,0.748017,2
2018,May,Arid,1,Open,13,0.5895476,2
2018,May,Arid,1,Partial,42,1.0016857,4
2018,May,Arid,1,Total,34,1.2446206,4
2018,May,Arid,2,Open,13,0.5895476,2
2018,May,Arid,2,Partial,42,1.0016857,4
2018,May,Arid,2,Total,34,1.2446206,4
2018,May,Arid,3,Open,13,0.5895476,2
2018,May,Arid,3,Partial,42,1.0016857,4
2018,May,Arid,3,Total,34,1.2446206,4
2018,May,Mesic,1,Open,48,1.1649914,3
2018,May,Mesic,1,Partial,62,1.3021472,4
2018,May,Mesic,1,Total,72,1.1596465,4
2018,May,Mesic,2,Open,48,1.1649914,3
2018,May,Mesic,2,Partial,62,1.3021472,4
2018,May,Mesic,2,Total,72,1.1596465,4
2018,May,Mesic,3,Open,48,1.1649914,3
2018,May,Mesic,3,Partial,62,1.3021472,4
2018,May,Mesic,3,Total,72,1.1596465,4
2018,May,Intermediate,1,Total,23,0.687067,2
2018,May,Intermediate,2,Open,8,0.5895476,2
2018,May,Intermediate,2,Partial,12,0.748017,2
2018,May,Intermediate,2,Total,23,0.687067,2
2018,May,Intermediate,3,Open,8,0.5895476,2
2018,May,Intermediate,3,Partial,12,0.748017,2
2018,May,Intermediate,3,Total,23,0.687067,2
2018,May,Intermediate,1,Open,8,0.5895476,2
2018,May,Intermediate,1,Partial,12,0.748017,2
2018,May,Arid,1,Open,13,0.5895476,2
2018,May,Arid,1,Partial,42,1.0016857,4
2018,May,Arid,1,Total,34,1.2446206,4
2018,May,Arid,2,Open,13,0.5895476,2
2018,May,Arid,2,Partial,42,1.0016857,4
2018,May,Arid,2,Total,34,1.2446206,4
2018,May,Arid,3,Open,13,0.5895476,2
2018,May,Arid,3,Partial,42,1.0016857,4
2018,May,Arid,3,Total,34,1.2446206,4
2018,June,Mesic,1,Open,48,1.1649914,3
2018,June,Mesic,1,Partial,62,1.3021472,4
2018,June,Mesic,1,Total,72,1.1596465,4
2018,June,Mesic,2,Open,48,1.1649914,3
2018,June,Mesic,2,Partial,62,1.3021472,4
2018,June,Mesic,2,Total,72,1.1596465,4
2018,June,Mesic,3,Open,48,1.1649914,3
2018,June,Mesic,3,Partial,62,1.3021472,4
2018,June,Mesic,3,Total,72,1.1596465,4
2018,June,Intermediate,1,Total,23,0.687067,2
2018,June,Intermediate,2,Open,8,0.5895476,2
2018,June,Intermediate,2,Partial,12,0.748017,2
2018,June,Intermediate,2,Total,23,0.687067,2
2018,June,Intermediate,3,Open,8,0.5895476,2
2018,June,Intermediate,3,Partial,12,0.748017,2
2018,June,Intermediate,3,Total,23,0.687067,2
2018,June,Intermediate,1,Open,8,0.5895476,2
2018,June,Intermediate,1,Partial,12,0.748017,2
2018,June,Arid,1,Open,13,0.5895476,2
2018,June,Arid,1,Partial,42,1.0016857,4
2018,June,Arid,1,Total,34,1.2446206,4
2018,June,Arid,2,Open,13,0.5895476,2
2018,June,Arid,2,Partial,42,1.0016857,4
2018,June,Arid,2,Total,34,1.2446206,4
2018,June,Arid,3,Open,13,0.5895476,2
2018,June,Arid,3,Partial,42,1.0016857,4
2018,June,Arid,3,Total,34,1.2446206,4
2018,July,Mesic,1,Open,48,1.1649914,3
2018,July,Mesic,1,Partial,62,1.3021472,4
2018,July,Mesic,1,Total,72,1.1596465,4
2018,July,Mesic,2,Open,48,1.1649914,3
2018,July,Mesic,2,Partial,62,1.3021472,4
2018,July,Mesic,2,Total,72,1.1596465,4
2018,July,Mesic,3,Open,48,1.1649914,3
2018,July,Mesic,3,Partial,62,1.3021472,4
2018,July,Mesic,3,Total,72,1.1596465,4
2018,July,Intermediate,1,Total,23,0.687067,2
2018,July,Intermediate,2,Open,8,0.5895476,2
2018,July,Intermediate,2,Partial,12,0.748017,2
2018,July,Intermediate,2,Total,23,0.687067,2
2018,July,Intermediate,3,Open,8,0.5895476,2
2018,July,Intermediate,3,Partial,12,0.748017,2
2018,July,Intermediate,3,Total,23,0.687067,2
2018,July,Intermediate,1,Open,8,0.5895476,2
2018,July,Intermediate,1,Partial,12,0.748017,2
2018,July,Arid,1,Open,13,0.5895476,2
2018,July,Arid,1,Partial,42,1.0016857,4
2018,July,Arid,1,Total,34,1.2446206,4
2018,July,Arid,2,Open,13,0.5895476,2
2018,July,Arid,2,Partial,42,1.0016857,4
2018,July,Arid,2,Total,34,1.2446206,4
2018,July,Arid,3,Open,13,0.5895476,2
2018,July,Arid,3,Partial,42,1.0016857,4
2018,July,Arid,3,Total,34,1.2446206,4
2018,August,Mesic,1,Open,48,1.1649914,3
2018,August,Mesic,1,Partial,62,1.3021472,4
2018,August,Mesic,1,Total,72,1.1596465,4
2018,August,Mesic,2,Open,48,1.1649914,3
2018,August,Mesic,2,Partial,62,1.3021472,4
2018,August,Mesic,2,Total,72,1.1596465,4
2018,August,Mesic,3,Open,48,1.1649914,3
2018,August,Mesic,3,Partial,62,1.3021472,4
2018,August,Mesic,3,Total,72,1.1596465,4
2018,August,Intermediate,1,Total,23,0.687067,2
2018,August,Intermediate,2,Open,8,0.5895476,2
2018,August,Intermediate,2,Partial,12,0.748017,2
2018,August,Intermediate,2,Total,23,0.687067,2
2018,August,Intermediate,3,Open,8,0.5895476,2
2018,August,Intermediate,3,Partial,12,0.748017,2
2018,August,Intermediate,3,Total,23,0.687067,2
2018,August,Intermediate,1,Open,8,0.5895476,2
2018,August,Intermediate,1,Partial,12,0.748017,2
2018,August,Arid,1,Open,13,0.5895476,2
2018,August,Arid,1,Partial,42,1.0016857,4
2018,August,Arid,1,Total,34,1.2446206,4
2018,August,Arid,2,Open,13,0.5895476,2
2018,August,Arid,2,Partial,42,1.0016857,4
2018,August,Arid,2,Total,34,1.2446206,4
2018,August,Arid,3,Open,13,0.5895476,2
2018,August,Arid,3,Partial,42,1.0016857,4
2018,August,Arid,3,Total,34,1.2446206,4
2018,September,Mesic,1,Open,48,1.1649914,3
2018,September,Mesic,1,Partial,62,1.3021472,4
2018,September,Mesic,1,Total,72,1.1596465,4
2018,September,Mesic,2,Open,48,1.1649914,3
2018,September,Mesic,2,Partial,62,1.3021472,4
2018,September,Mesic,2,Total,72,1.1596465,4
2018,September,Mesic,3,Open,48,1.1649914,3
2018,September,Mesic,3,Partial,62,1.3021472,4
2018,September,Mesic,3,Total,72,1.1596465,4
2018,September,Intermediate,1,Total,23,0.687067,2
2018,September,Intermediate,2,Open,8,0.5895476,2
2018,September,Intermediate,2,Partial,12,0.748017,2
2018,September,Intermediate,2,Total,23,0.687067,2
2018,September,Intermediate,3,Open,8,0.5895476,2
2018,September,Intermediate,3,Partial,12,0.748017,2
2018,September,Intermediate,3,Total,23,0.687067,2
2018,September,Intermediate,1,Open,8,0.5895476,2
2018,September,Intermediate,1,Partial,12,0.748017,2
2018,September,Arid,1,Open,13,0.5895476,2
2018,September,Arid,1,Partial,42,1.0016857,4
2018,September,Arid,1,Total,34,1.2446206,4
2018,September,Arid,2,Open,13,0.5895476,2
2018,September,Arid,2,Partial,42,1.0016857,4
2018,September,Arid,2,Total,34,1.2446206,4
2018,September,Arid,3,Open,13,0.5895476,2
2018,September,Arid,3,Partial,42,1.0016857,4
2018,September,Arid,3,Total,34,1.2446206,4
2018,October,Mesic,1,Open,48,1.1649914,3
2018,October,Mesic,1,Partial,62,1.3021472,4
2018,October,Mesic,1,Total,72,1.1596465,4
2018,October,Mesic,2,Open,48,1.1649914,3
2018,October,Mesic,2,Partial,62,1.3021472,4
2018,October,Mesic,2,Total,72,1.1596465,4
2018,October,Mesic,3,Open,48,1.1649914,3
2018,October,Mesic,3,Partial,62,1.3021472,4
2018,October,Mesic,3,Total,72,1.1596465,4
2018,October,Intermediate,1,Total,23,0.687067,2
2018,October,Intermediate,2,Open,8,0.5895476,2
2018,October,Intermediate,2,Partial,12,0.748017,2
2018,October,Intermediate,2,Total,23,0.687067,2
2018,October,Intermediate,3,Open,8,0.5895476,2
2018,October,Intermediate,3,Partial,12,0.748017,2
2018,October,Intermediate,3,Total,23,0.687067,2
2018,October,Intermediate,1,Open,8,0.5895476,2
2018,October,Intermediate,1,Partial,12,0.748017,2
2018,October,Arid,1,Open,13,0.5895476,2
2018,October,Arid,1,Partial,42,1.0016857,4
2018,October,Arid,1,Total,34,1.2446206,4
2018,October,Arid,2,Open,13,0.5895476,2
2018,October,Arid,2,Partial,42,1.0016857,4
2018,October,Arid,2,Total,34,1.2446206,4
2018,October,Arid,3,Open,13,0.5895476,2
2018,October,Arid,3,Partial,42,1.0016857,4
2018,October,Arid,3,Total,34,1.2446206,4
2018,November,Mesic,1,Open,48,1.1649914,3
2018,November,Mesic,1,Partial,62,1.3021472,4
2018,November,Mesic,1,Total,72,1.1596465,4
2018,November,Mesic,2,Open,48,1.1649914,3
2018,November,Mesic,2,Partial,62,1.3021472,4
2018,November,Mesic,2,Total,72,1.1596465,4
2018,November,Mesic,3,Open,48,1.1649914,3
2018,November,Mesic,3,Partial,62,1.3021472,4
2018,November,Mesic,3,Total,72,1.1596465,4
2018,November,Intermediate,1,Total,23,0.687067,2
2018,November,Intermediate,2,Open,8,0.5895476,2
2018,November,Intermediate,2,Partial,12,0.748017,2
2018,November,Intermediate,2,Total,23,0.687067,2
2018,November,Intermediate,3,Open,8,0.5895476,2
2018,November,Intermediate,3,Partial,12,0.748017,2
2018,November,Intermediate,3,Total,23,0.687067,2
2018,November,Intermediate,1,Open,8,0.5895476,2
2018,November,Intermediate,1,Partial,12,0.748017,2
2018,November,Arid,1,Open,13,0.5895476,2
2018,November,Arid,1,Partial,42,1.0016857,4
2018,November,Arid,1,Total,34,1.2446206,4
2018,November,Arid,2,Open,13,0.5895476,2
2018,November,Arid,2,Partial,42,1.0016857,4
2018,November,Arid,2,Total,34,1.2446206,4
2018,November,Arid,3,Open,13,0.5895476,2
2018,November,Arid,3,Partial,42,1.0016857,4
2018,November,Arid,3,Total,34,1.2446206,4
2018,December,Arid,1,Open,13,0.5895476,2
2018,December,Arid,1,Partial,42,1.0016857,4
2018,December,Arid,1,Total,34,1.2446206,4
2018,December,Arid,2,Open,13,0.5895476,2
2018,December,Arid,2,Partial,42,1.0016857,4
2018,December,Arid,2,Total,34,1.2446206,4
2018,December,Arid,3,Open,13,0.5895476,2
2018,December,Arid,3,Partial,42,1.0016857,4
2018,December,Arid,3,Total,34,1.2446206,4
2018,December,Intermediate,2,Open,8,0.5895476,2
2018,December,Intermediate,2,Partial,12,0.748017,2
2018,December,Intermediate,2,Total,23,0.687067,2
2018,December,Intermediate,3,Open,8,0.5895476,2
2018,December,Intermediate,3,Partial,12,0.748017,2
2018,December,Intermediate,3,Total,23,0.687067,2
2018,December,Intermediate,1,Open,8,0.5895476,2
2018,December,Intermediate,1,Partial,12,0.748017,2
2018,December,Intermediate,1,Total,23,0.687067,2
2018,December,Mesic,1,Open,48,1.1649914,3
2018,December,Mesic,1,Partial,62,1.3021472,4
2018,December,Mesic,1,Total,72,1.1596465,4
2018,December,Mesic,2,Open,48,1.1649914,3
2018,December,Mesic,2,Partial,62,1.3021472,4
2018,December,Mesic,2,Total,72,1.1596465,4
2018,December,Mesic,3,Open,48,1.1649914,3
2018,December,Mesic,3,Partial,62,1.3021472,4
2018,December,Mesic,3,Total,72,1.1596465,4
2019,January,Arid,2,Open,13,0.5895476,2
2019,January,Arid,2,Partial,42,1.0016857,4
2019,January,Arid,2,Total,34,1.2446206,4
2019,January,Arid,1,Open,13,0.5895476,2
2019,January,Arid,1,Partial,42,1.0016857,4
2019,January,Arid,1,Total,34,1.2446206,4
2019,January,Arid,3,Open,13,0.5895476,2
2019,January,Arid,3,Partial,42,1.0016857,4
2019,January,Arid,3,Total,34,1.2446206,4
2019,January,Intermediate,3,Open,8,0.5895476,2
2019,January,Intermediate,3,Partial,12,0.748017,2
2019,January,Intermediate,3,Total,23,0.687067,2
2019,January,Intermediate,2,Open,8,0.5895476,2
2019,January,Intermediate,2,Total,23,0.687067,2
2019,January,Intermediate,2,Partial,12,0.748017,2
2019,January,Intermediate,1,Total,23,0.687067,2
2019,January,Intermediate,1,Open,8,0.5895476,2
2019,January,Intermediate,1,Partial,12,0.748017,2
2019,January,Mesic,1,Total,72,1.1596465,4
2019,January,Mesic,1,Partial,62,1.3021472,4
2019,January,Mesic,1,Open,48,1.1649914,3
2019,January,Mesic,2,Total,72,1.1596465,4
2019,January,Mesic,2,Partial,62,1.3021472,4
2019,January,Mesic,2,Open,48,1.1649914,3
2019,January,Mesic,3,Total,72,1.1596465,4
2019,January,Mesic,3,Partial,62,1.3021472,4
2019,January,Mesic,3,Open,48,1.1649914,3
2019,February,Intermediate,1,Open,8,0.5895476,2
2019,February,Intermediate,1,Partial,12,0.748017,2
2019,February,Intermediate,1,Total,23,0.687067,2
2019,February,Intermediate,2,Open,8,0.5895476,2
2019,February,Intermediate,2,Partial,12,0.748017,2
2019,February,Intermediate,2,Total,23,0.687067,2
2019,February,Intermediate,3,Open,8,0.5895476,2
2019,February,Intermediate,3,Partial,12,0.748017,2
2019,February,Intermediate,3,Total,23,0.687067,2
2019,February,Mesic,1,Open,48,1.1649914,3
2019,February,Mesic,1,Partial,62,1.3021472,4
2019,February,Mesic,1,Total,72,1.1596465,4
2019,February,Mesic,2,Open,48,1.1649914,3
2019,February,Mesic,2,Partial,62,1.3021472,4
2019,February,Mesic,2,Total,72,1.1596465,4
2019,February,Mesic,3,Open,48,1.1649914,3
2019,February,Mesic,3,Partial,62,1.3021472,4
2019,February,Mesic,3,Total,72,1.1596465,4
2019,February,Arid,1,Open,13,0.5895476,2
2019,February,Arid,1,Partial,42,1.0016857,4
2019,February,Arid,1,Total,34,1.2446206,4
2019,February,Arid,2,Open,13,0.5895476,2
2019,February,Arid,2,Partial,42,1.0016857,4
2019,February,Arid,2,Total,34,1.2446206,4
2019,February,Arid,3,Open,13,0.5895476,2
2019,February,Arid,3,Partial,42,1.0016857,4
2019,February,Arid,3,Total,34,1.2446206,4
2019,March,Intermediate,1,Open,8,0.5895476,2
