tag,month,date,site,block,plot,night,condition,species,age,sex,repro,weightbag,length,tail,ticks,blood
222,NA,NA,Mesic,3,Total,2,Released,PEMA,Juvenile,NA,N,23,160,85,N,N
223,NA,NA,Mesic,3,Total,2,Released,PEMA,Adult,F,N,37,182,81,N,N
230,NA,NA,Mesic,3,Total,3,Released,PEMA,Adult,F,N,30,150,80,N,N
211,NA,NA,Mesic,3,Total,3,Recapture,PEMA,NA,NA,NA,NA,NA,NA,NA,NA
213,NA,NA,Mesic,3,Total,1,Released,PECA,Adult,M,N,44,192,91,N,N
214,NA,NA,Mesic,3,Total,1,Released,PECA,Adult,M,N,42,179,89,N,N
224,NA,NA,Mesic,3,Total,2,Released,PECA,Adult,M,N,39,181,79,N,N
225,NA,NA,Mesic,3,Total,2,Released,PECA,Juvenile,NA,N,42,168,78,N,N
NA,NA,NA,Mesic,3,Partial,2,Released,NEMA,Adult,NA,NA,NA,,,,
214,NA,NA,Mesic,3,Total,3,Recapture,PECA,NA,NA,NA,NA,NA,NA,NA,NA
224,NA,NA,Mesic,3,Total,3,Recapture,PECA,NA,NA,NA,NA,NA,NA,NA,NA
215,NA,NA,Mesic,3,Partial,1,Released,PEMA,Adult,F,N,32,177,81,N,N
226,NA,NA,Mesic,3,Partial,2,Released,PEMA,Adult,F,N,27,165,90,N,N
227,NA,NA,Mesic,3,Partial,2,Released,PEMA,Adult,F,N,19,135,80,N,N
231,NA,NA,Mesic,3,Partial,3,Released,PEMA,Juvenile,F,N,27,167,69,N,N
232,NA,NA,Mesic,3,Partial,3,Released,PEMA,Adult,M,N,27,,,N,N
216,NA,NA,Mesic,3,Partial,1,Released,PECA,Juvenile,M,N,36,145,56,N,N
228,NA,NA,Mesic,3,Partial,2,Released,PECA,Adult,M,N,44,178,69,N,N
229,NA,NA,Mesic,3,Partial,2,Released,PECA,Adult,F,N,36,166,72,N,N
217,NA,NA,Mesic,3,Open,1,Released,PECA,Adult,M,N,38,183,78,N,N
218,NA,NA,Mesic,3,Open,1,Released,PECA,Adult,M,N,37,,,N,N
220,NA,NA,Mesic,3,Open,1,Released,PEMA,Adult,M,N,23,160,85,N,N
219,NA,NA,Mesic,3,Open,1,Released,PEMA,Adult,M,N,24,175,85,N,N
234,NA,NA,Mesic,3,Open,2,Released,PEMA,Adult,F,Y,15,145,75,N,N
235,NA,NA,Mesic,3,Open,2,Released,PEMA,Juvenile,M,N,15,145,66,N,N
217,NA,NA,Mesic,3,Open,2,Recapture,PECA,NA,NA,NA,NA,NA,NA,NA,NA
219,NA,NA,Mesic,3,Open,2,Recapture,PEMA,NA,NA,NA,NA,NA,NA,NA,NA
236,NA,NA,Mesic,3,Open,3,Released,PEMA,Adult,F,N,33,175,95,N,N
237,NA,NA,Mesic,3,Open,3,Released,PEMA,Adult,M,N,36,176,87,N,N
234,NA,NA,Mesic,3,Open,3,Recapture,PEMA,NA,NA,NA,,,,,
