country,code,area_sqkm,population,GDP_capita,dalys,tree_cover_loss_ha
Libya,LBY,1759540,6580723,5756.699325,11246.57167,10.45294938
Saint Lucia,LCA,610,180955,11047.44499,143.3766849,83.5570397
Sri Lanka,LKA,62710,21444000,4076.747003,28364.67998,13066.09839
Lesotho,LSO,30360,2091532,1102.94441,3549.04224,7.805554621
Lithuania,LTU,62650,2828403,16843.69965,838.1593093,25803.69264
Luxembourg,LUX,2590,596336,107361.3069,11.81192875,412.6665366
Latvia,LVA,62180,1942248,15643.48563,515.9498491,47085.22204
Morocco,MAR,446300,35581257,3035.454433,17479.8017,2366.567119
Moldova,MDA,32870,2755158,3509.69345,1054.175955,1092.37954
Madagascar,MDG,581800,25570511,515.2933093,492072.114,510356.8561
Maldives,MDV,300,496398,9577.702376,603.8652262,3.133582414
Mexico,MEX,1943950,124777326,9287.849587,217926.3746,298787.5381
North Macedonia,MKD,25220,2081996,5432.414531,508.1081428,1144.614197
Mali,MLI,1220190,18512429,830.0215153,2175150.718,331.9850058
Malta,MLT,320,467999,28250.69777,17.60010349,0.125192663
Myanmar,MMR,653080,53382521,1257.803576,370540.2781,341844.6955
Montenegro,MNE,13450,622373,7803.411137,215.9306111,1268.97162
Mongolia,MNG,1553560,3113788,3669.406934,2674.418034,25238.39889
Mozambique,MOZ,786380,28649007,461.4150941,1433014.06,359011.1368
Mauritania,MRT,1030700,4282582,1577.86437,26568.52032,0.073900905
Mauritius,MUS,2030,1264613,10484.90583,4055.325676,531.7519755
Malawi,MWI,94280,17670193,497.3104097,530199.4111,15307.69408
Malaysia,MYS,328550,31104655,10259.30481,52778.65633,483416.1086
Namibia,NAM,823290,2402623,5367.114673,6229.399071,1.833584392
Niger,NER,1266700,21602388,517.9770442,2438700.88,0.074763426
Nigeria,NGA,910770,190873247,1968.565398,13473718.42,171045.4466
Nicaragua,NIC,120340,6384843,2159.161926,9107.235728,211681.2541
Netherlands,NLD,33690,17131296,48554.99228,87.23090235,1333.202916
Norway,NOR,365245,5276968,75496.75406,1261.13799,57916.60368
Nepal,NPL,143350,27632682,1048.453755,146183.4325,2394.083932
New Zealand,NZL,263310,4813600,42992.89527,655.9382796,74883.5155
Oman,OMN,309500,4665926,15127.88819,1137.25947,0.069237457
Pakistan,PAK,770880,207906210,1464.926195,713647.0645,190.2467412
Panama,PAN,74340,4106764,15146.40237,4385.382717,30878.79188
Peru,PER,1280000,31444299,6710.507602,65320.82306,303280.5197
Philippines,PHL,298170,105172921,3123.245642,387752.8721,114280.5978
Papua New Guinea,PNG,452860,8438038,2695.249009,76888.62904,117509.2545
Poland,POL,306190,37974826,13864.68176,12464.82645,96251.7538
Puerto Rico,PRI,8870,3325286,31108.75275,1596.344665,56205.35066
North Korea,PRK,120410,25429816,NA,12510.98195,8522.738368
Portugal,PRT,91605,10300300,21437.3475,7892.060351,173894.8079
Paraguay,PRY,397300,6867058,5678.869972,8336.086089,360058.4073
Romania,ROU,230080,19588715,10807.00917,7550.086544,19187.03312
Russia,RUS,16376870,144496739,10720.33266,185831.7082,5288900.064
Rwanda,RWA,24670,11980960,772.3169891,224699.7631,2728.818306
Sudan,SDN,2376000,40813398,1103.000026,264074.9377,74.64733217
Senegal,SEN,192530,15419354,1361.701972,201450.8508,391.7954827
Singapore,SGP,709,5612253,61176.45636,1492.799898,262.6503472
Solomon Islands,SLB,27990,636030,2332.844216,1381.340327,19761.3858
Sierra Leone,SLE,72180,7488427,499.3809746,918944.8854,232752.748
El Salvador,SLV,20720,6388124,3910.255969,8982.27987,4745.634265
Somalia,SOM,627340,14589165,309.0543803,173151.7081,304.8967333
Serbia,SRB,87460,7020858,6292.543629,2972.112167,3570.642009
South Sudan,SSD,2376000,10910774,1103.000026,541017.7868,6856.227015
Sao Tome and Principe,STP,960,207086,1813.807434,1334.483215,77.22190502
Suriname,SUR,156000,570501,6295.560562,1211.49895,18018.47528
Slovakia,SVK,48086,5439232,17504.21134,2016.077084,14213.00815
Slovenia,SVN,20140,2066388,23455.94473,650.753605,4891.962533
Sweden,SWE,407310,10057698,53791.50873,52.99367485,331202.2164
Eswatini,SWZ,17200,1124808,3914.421839,2583.582854,6376.503672
Seychelles,SYC,460,95843,15906.08391,77.76479373,0.835144715
Syria,SYR,183630,17095669,187.5372923,23954.28509,2146.569604
